dataTime,cityName,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,
2018-06-13 19:00,강남구,0.004,0.4,0.030,0.025,42,31,
2018-06-13 19:00,강동구,0.004,0.5,0.038,0.029,44,27,
2018-06-13 19:00,강북구,0.004,0.3,0.053,0.013,42,27,
2018-06-13 19:00,강서구,0.004,0.4,0.045,0.017,21,16,
2018-06-13 19:00,관악구,0.005,0.3,0.040,0.020,33,28,
2018-06-13 19:00,광진구,0.006,1.0,0.036,0.021,47,33,
2018-06-13 19:00,구로구,0.005,0.2,0.047,0.020,35,19,
2018-06-13 19:00,금천구,0.004,0.3,0.042,0.022,26,15,
2018-06-13 19:00,노원구,0.006,0.4,0.041,0.019,43,28,
2018-06-13 19:00,도봉구,0.007,0.6,0.048,0.018,51,28,
2018-06-13 19:00,동대문구,0.007,0.4,0.026,0.020,32,25,
2018-06-13 19:00,동작구,0.005,0.4,0.045,0.022,37,25,
2018-06-13 19:00,마포구,0.005,0.4,0.041,0.019,33,22,
2018-06-13 19:00,서대문구,0.003,0.5,0.040,0.015,26,20,
2018-06-13 19:00,서초구,0.005,0.3,0.045,0.022,34,23,
2018-06-13 19:00,성동구,0.005,0.3,0.032,0.023,68,32,
2018-06-13 19:00,성북구,0.004,0.6,0.036,0.020,43,24,
2018-06-13 19:00,송파구,0.004,0.6,0.049,0.027,41,28,
2018-06-13 19:00,양천구,0.006,0.4,0.039,0.023,-,14,
2018-06-13 19:00,영등포구,0.007,0.6,0.033,0.030,42,33,
2018-06-13 19:00,용산구,0.005,0.4,0.036,0.030,36,29,
2018-06-13 19:00,은평구,0.004,0.2,0.051,0.015,-,31,
2018-06-13 19:00,종로구,0.006,0.4,0.046,0.021,35,27,
2018-06-13 19:00,중구,0.004,0.4,0.049,0.017,32,22,
2018-06-13 19:00,중랑구,0.007,0.5,0.041,0.023,35,28,
